"","yhat_SN",""
"y_all[1]",4.150269804962,2.52193401843431
"y_all[2]",6.9366754183,7.2764125776245
"y_all[4]",11.1321647704,9.25622786569272
"y_all[5]",9.1577081971,10.046991925793
"y_all[6]",3.910318899656,2.29477376168474
"y_all[7]",4.86703775341,1.9360407798607
"y_all[8]",7.5190415787,8.48706822209914
"y_all[9]",5.2545168424,6.93550964128861
"y_all[10]",3.752690132682,4.58023724920607
"y_all[11]",9.6931376121,7.37244184996756
"y_all[12]",6.9577833367,8.20697956326172
"y_all[13]",7.6199717184,6.72772116366279
"y_all[14]",-0.497565754474613,-0.826499719763348
"y_all[15]",8.3310431237,7.81344068451024
"y_all[16]",6.853843503,6.63812507531958
"y_all[17]",7.6637851978,9.02653222609296
"y_all[18]",11.7175219693,12.2974981656249
"y_all[19]",8.7303796999,10.0104932690448
"y_all[20]",8.3034210951,6.12801171159699
"y_all[21]",9.2344590973,9.67023264080726
"y_all[22]",5.9037956709,5.42880910868752
"y_all[23]",4.595984273257,4.78046685797435
"y_all[24]",5.8474354737,5.70845067356136
"y_all[25]",8.0891521593,9.29859253071803
"y_all[26]",8.056287899,6.95489337568518
"y_all[28]",5.542164107915,4.61663842222067
"y_all[29]",7.8602551632,8.9827062681994
"y_all[30]",7.9079140063,8.12486621516255
"y_all[31]",7.3293137617,7.78748938130615
"y_all[32]",8.282534147,6.80377066209229
"y_all[33]",8.2505631501,8.51607407270946
"y_all[34]",5.9771828056,7.37798592292869
"y_all[35]",3.680811618916,2.32076365033347
"y_all[36]",6.0975096659,7.76147422331376
"y_all[37]",6.5698683207,9.36955821582104
"y_all[38]",5.9518467489,4.74508867847275
"y_all[39]",6.5743257395,6.2136505978067
"y_all[40]",5.5531100734,4.34923752778518
"y_all[41]",5.4726136395,7.0105920038131
"y_all[42]",6.874003443,6.07489808659736
"y_all[43]",6.4962908788,3.61425999415288
"y_all[44]",10.2608488808,8.91990395812431
"y_all[45]",6.3691889789,5.06549719189953
"y_all[46]",5.0439768616,3.15294441847769
"y_all[48]",8.8627308444,8.25286400265586
"y_all[49]",3.0711568290612,2.98540749270984
"y_all[50]",9.288799408,8.53126437239172
"y_all[51]",8.8606478447,9.82143041950434
"y_all[52]",2.445073300049,2.91371030023858
"y_all[53]",5.9772959433,4.7459753312842
"y_all[54]",5.0785095091,5.97452642223979
